PersonRoleId,PersonId,LastName,UsedFirstName,StartDate,StartDateIsApproximate,EndDate,EndDateIsApproximate,EndReasonEn,EndReasonTypeEn,SourceOfInformationEn,IsActing,ActingTextEn,HasCrossedTheFloor,OrganizationId,OrganizationLongEn,OrganizationShortEn,OrganizationAcronymEn,OrganizationTypeId,OrganizationTypeEn,OrganizationProvinceEn,OrganizationHasProfile,IsSenatorialDivision,ToBeStyledAsEn,GroupId,Source,PortFolioEn,Committee,GroupingTitleEn,GroupingOrder,ParliamentStart,ParliamentEnd,ParliamentNumber,PartyOrganizationId,PartyEn,PartyStartDate,PartyEndDate,PersonPersonId,PersonLastName,PersonUsedFirstName,PersonGender,MemberOfParliament,IsMP,IsSenator,GovernorGeneral,NotesEn,InternalNotes,IsCurrent,RoleId,NameEn,Ordinal,Classes
269120,16528,Masse,Brian,1997-11-01,False,2002-05-12,False,,,,False,,False,9978,Windsor (ON),,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,1227,Councillor,,Municipal
322029,20101,Mazier,Dan,2006-10-01,True,2011-01-01,True,,,,False,,False,15362,Rolling River School Division,,,29,School Board,,False,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,576,School Trustee,,Municipal
268613,18467,McDonald,Ken,1993-01-01,True,1996-01-01,True,,,,False,,False,10455,Conception Bay South,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,1227,Councillor,,Municipal
268614,18467,McDonald,Ken,2009-01-01,True,2013-01-01,True,,,,False,,False,10455,Conception Bay South,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,1227,Councillor,,Municipal
268612,18467,McDonald,Ken,2013-09-24,False,2015-01-01,True,,,,False,,False,10455,Conception Bay South,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,223,Mayor,,Municipal
132706,17253,McLeod,Cathy,1993-01-01,True,1996-01-01,True,,,,False,,False,10464,Pemberton,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,1227,Councillor,,Municipal
132705,17253,McLeod,Cathy,1996-01-01,True,1999-01-01,True,,,,False,,False,10464,Pemberton,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,223,Mayor,,Municipal
268628,18471,McLeod,Michael,,False,,False,,,,False,,False,11992,Fort Providence,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,True,223,Mayor,,Municipal
135159,17336,Mockler,Percy,,False,,False,,,,False,,False,10531,District 32 School Board,,,29,School Board,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,True,756,Chair,,Committee|Officers of Party Caucuses and Executives|ElectionProcessCloseDissolution
318813,20096,Morantz,Marty,2014-10-22,False,2018-10-23,False,,,,False,,False,10016,Winnipeg,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,Charleswood - Tuxedo Ward,,False,777,City Councillor,,Municipal
268654,18552,Morrissey,Robert,,False,,False,,,,False,,False,7724,School Board,,,29,School Board,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,True,575,School Trustee,,Municipal
269048,18529,Nater,John,2010-12-01,True,2014-11-01,True,,,,False,,False,12068,West Perth,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,1227,Councillor,,Municipal
268666,18531,O'Connell,Jennifer,2006-10-01,True,2010-10-01,True,,,,False,,False,6533,Pickering,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,1227,Councillor,,Municipal
268667,18531,O'Connell,Jennifer,2010-10-01,True,2015-01-01,True,,,,False,,False,6533,Pickering,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,562,Regional Councillor,,Municipal
140206,10620,Poirier,Rose-May,1993-01-01,True,1999-01-01,True,,,,False,,False,8523,St. Louis of Kent,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,697,Town Councillor,,Municipal
269113,18589,Rayes,Alain,2009-11-02,False,2015-01-01,True,,,,False,,False,9647,Victoriaville,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,223,Mayor,,Municipal
309487,20007,Rogers,Churence,1997-01-01,True,2003-01-01,True,,,,False,,False,15127,Harbour Breton,,,11,Municipal Government,,False,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,223,Mayor,,Municipal
309486,20007,Rogers,Churence,2009-01-01,True,2017-01-01,True,,,,False,,False,15126,Centreville-Wareham-Trinity,,,11,Municipal Government,,False,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,223,Mayor,,Municipal
106110,9445,Rota,Anthony,1994-01-01,True,1997-01-01,True,,,,False,,False,5932,North Bay,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,1227,Councillor,,Municipal
268751,18507,Schulte,Deborah,2010-01-01,True,2014-01-01,True,,,,False,,False,10809,Vaughan,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,562,Regional Councillor,,Municipal
268753,18521,Serré,Marc G.,,False,,False,,,,False,,False,9007,Sudbury's School Board,,,29,School Board,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,True,576,School Trustee,,Municipal
268754,18521,Serré,Marc G.,,False,,False,,,,False,,False,7692,Sault Ste Marie's Board of Education,,,29,School Board,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,True,576,School Trustee,,Municipal
268755,18521,Serré,Marc G.,,False,,False,,,,False,,False,12010,Valley East,,,29,School Board,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,True,576,School Trustee,,Municipal
268756,18521,Serré,Marc G.,,False,,False,,,,False,,False,12011,West Nipissing,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,True,731,Municipal Councillor,,Municipal
22325,3950,Sgro,Judy,1987-01-01,True,1994-01-01,True,,,,False,,False,5997,North York,,,11,Municipal Government,,True,False,,0,,,,,0,,,0,0,,,,0,,,,,False,False,,,,False,731,Municipal Councillor,,Municipal
