PersonId,LastName,UsedFirstName,SchoolNameLongEn,FieldOfStudyEn,DiplomaLongEn,GraduationYear
12784,Crawford,Rex,Michigan State University,Agricultural Technology,Unknown,
12784,Crawford,Rex,University of Guelph,Agriculture,Unknown,
13633,Creaghan,William Lawrence Marven,Dalhousie University,Laws,Bachelor,1948.0
13633,Creaghan,William Lawrence Marven,St. Francis Xavier University,Arts,Bachelor,
5198,Crerar,Thomas Alexander,University of Manitoba,Laws,Honorary doctorate,
16870,Crestohl,Leon David,McGill University,Arts,Bachelor,
16870,Crestohl,Leon David,Montreal University,Civil Law,Bachelor,
18116,Crockatt,Joan,London School of Economics and Political Science,Management,Unknown,
18116,Crockatt,Joan,University of Saskatchewan,English,Bachelor,
18116,Crockatt,Joan,University of Toronto,Journalism,Fellowship,
16290,Crocket,Oswald Smith,University of New Brunswick,Arts,Bachelor,1886.0
12759,Crofton,Patrick Dermott,Royal Military College of Canada,Unknown,Degree,1956.0
17284,Crombie,Bonnie,York University,Business Administration,Master,1992.0
12537,Crombie,David Edward,University of Toronto,Political Science,Post-graduate studies,
12537,Crombie,David Edward,University of Western Ontario,Economics,Bachelor,
4141,Cronyn,Hume,University of Toronto,Laws,Bachelor,
4141,Cronyn,Hume,University of Toronto,Arts,Bachelor,
5339,Crosbie,John Carnell,Queen's University,Political Science and Economy,Degree,1953.0
5339,Crosbie,John Carnell,Dalhousie University,Laws,Degree,1956.0
5339,Crosbie,John Carnell,London School of Economics and Political Science,Laws,Post-graduate studies,
1831,Crosby,Howard Edward,Dalhousie University,Laws,Bachelor,1955.0
1831,Crosby,Howard Edward,Southern Methodist University,Laws,Master,1956.0
9190,Cross,Charles Wilson,University of Toronto,Arts,Bachelor,1895.0
9190,Cross,Charles Wilson,Osgoode Hall Law School,Laws,Bachelor,1896.0
8557,Crowder,Jean,Wilfrid Laurier University,Arts,Bachelor,
11805,Crête,Joseph-Alphida,Collège des optométristes (Québec),Optometry,Diploma,1911.0
1255,Crête,Paul,Laval University,Administration,Bachelor,1974.0
544,Culbert,Harold William,University of New Brunswick,Economics,Unknown,
2286,Cullen,Jack Sydney George (Bud),University of Toronto,Arts,Bachelor,1950.0
2286,Cullen,Jack Sydney George (Bud),Osgoode Hall Law School,Laws,Bachelor,1956.0
11875,Cullen,Nathan,Trent University,Arts,Bachelor,
2999,Cullen,Roy,Bishop's University,Business Administration,Bachelor,1965.0
2999,Cullen,Roy,Canadian Institute of Chartered Accountants,Chartered Accountants,Certificate,1972.0
2999,Cullen,Roy,University of Victoria,Public Administration,Master,1988.0
13361,Cummins,John Martin,University of Western Ontario,Arts,Bachelor,1966.0
13361,Cummins,John Martin,University of British Columbia,Arts,Master,1988.0
463,Cunningham,Robert,University of London (U.K.),Science,Degree,
15395,Curran,John Joseph,McGill University,Civil Law,Bachelor,1862.0
15395,Curran,John Joseph,Manhattan College,Laws,Honorary doctorate,1881.0
15395,Curran,John Joseph,University of Ottawa,Unknown,Unknown,
3065,Currie,Morley,University of Toronto,Medicine,Bachelor,1895.0
3065,Currie,Morley,University of Toronto,Arts,Bachelor,
4246,Cuzner,Rodger,St. Francis Xavier University,Human Kinetics,Bachelor,
8238,Cyr,Alexandre,St. Dunstan's University,Commerce,Diploma,1943.0
14486,Côté,Alcide,Montreal University,Arts,Bachelor,
14486,Côté,Alcide,Montreal University,Laws,Bachelor,
3215,Côté,Antoine-Philéas,Laval University,Laws,Bachelor,
3215,Côté,Antoine-Philéas,Harvard University,Unknown,Post-graduate studies,
15877,Côté,Clément M.,University of Quebec at Chicoutimi,Marketing Management,Certificate,
9672,Côté,Guy,Laval University,Public Communications,Bachelor,
16385,Côté,Joseph Julien Jean-Pierre,Technical School,Dentistry,Degree,
12668,Côté,Louis,University of Ottawa,Arts,Bachelor,1928.0
12668,Côté,Louis,Osgoode Hall Law School,Laws,Unknown,
3299,Côté,Michel,École de dessin industriel de Québec,Industrial Design,Certificate,
3299,Côté,Michel,Laval University,Chartered Accountants,Certificate,
4099,Côté,Paul-Émile,Montreal College,Arts,Bachelor,1929.0
4099,Côté,Paul-Émile,Montreal University,Laws,Master,1932.0
12045,Côté,Pierre-Émile,Laval University,Laws,Unknown,
17898,Côté,Raymond,Laval University,Arts,Bachelor,1993.0
12250,Côté,Yvon,Sherbrooke University,Pedagogy,Certificate,1960.0
12250,Côté,Yvon,Sherbrooke University,Pedagogy,Master,1961.0
12250,Côté,Yvon,Sherbrooke University,Secondary Education Curriculum Studies,Licentiate,1965.0
12250,Côté,Yvon,Sherbrooke University,Langue française,Licentiate,1967.0
13696,D'Amours,Jean-Claude,University of Moncton,Arts,Bachelor,
13696,D'Amours,Jean-Claude,University of Moncton,Commerce,Bachelor,
15955,D'Anjou,Joseph-Émile-Stanislas-Émmanuel,Laval University,Unknown,Unknown,
18544,Dabrusin,Julie,McGill University,Middle East Studies,Bachelor,1994.0
18544,Dabrusin,Julie,University of Toronto,Laws,Bachelor,1997.0
585,Dallaire,Roméo A.,Royal Military College of Canada,Applied Science,Bachelor,
20021,Dalphond,Pierre J.,University of Oxford,Political Studies,Master,1982.0
20021,Dalphond,Pierre J.,Montreal University,Laws,Degree,
5902,Dalphond-Guiral,Madeleine,Sainte-Justice Hospital,Nursing,Licentiate,1959.0
5902,Dalphond-Guiral,Madeleine,Montreal University,Arts,Bachelor,1970.0
5902,Dalphond-Guiral,Madeleine,Montreal University,Public Health,Certificate,1975.0
5902,Dalphond-Guiral,Madeleine,Montreal University,Nursing,Certificate,1976.0
9232,Daly,Thomas Mayne,Upper Canada College,Unknown,Unknown,
18524,Damoff,Pam,University of Western Ontario,Arts,Bachelor,
1947,Dandurand,Raoul,Montreal College,Unknown,Unknown,
1947,Dandurand,Raoul,Laval University,Laws,Unknown,
1417,Danforth,Harold Warren,Ontario Agricultural College,Agriculture,Bachelor,
17869,Daniel,Joe,Plymouth University,Telecommunications Engineering,Bachelor,1979.0
17869,Daniel,Joe,University of Toronto,Telecommunications Engineering,Master,2000.0
8336,Daniel,John Waterhouse,Bellevue Hospital Medical College,Medicine,Doctorate,
1889,Danis,Marcel,Fordham University,Political Science,Master,
1889,Danis,Marcel,Loyola College,Arts,Bachelor,
1889,Danis,Marcel,Montreal University,Laws,Licentiate,
1889,Danis,Marcel,University of Paris,Constitutional Law and Political Science,Diploma,
10856,Dantzer,Vincent Martin,University of Saskatchewan,Arts,Bachelor,1949.0
10856,Dantzer,Vincent Martin,University of Toronto,Economics,Master,1950.0
10856,Dantzer,Vincent Martin,University of Alberta,Laws,Bachelor,1956.0
20020,Dasko,Donna,University of Toronto,Philosophy,Doctorate,
20020,Dasko,Donna,University of Toronto,Arts,Master,
20020,Dasko,Donna,University of Manitoba,Arts,Bachelor,
3085,Daubney,David Bruce,Queen's University,History and Political Science,Bachelor,1969.0
3085,Daubney,David Bruce,University of Western Ontario,Laws,Bachelor,1972.0
3085,Daubney,David Bruce,Osgoode Hall Law School,Laws,Unknown,1974.0
9504,Daudlin,Robert Mose Patrick,University of Western Ontario,Arts,Bachelor,1961.0
9504,Daudlin,Robert Mose Patrick,University of Western Ontario,Laws,Bachelor,1965.0
14921,Davey,Keith Douglas,University of Toronto,Arts,Bachelor,1949.0
9257,Daviault,Michel,University of Quebec,Psychology,Unknown,
2131,David,Laurent-Olivier,Sainte-Marie College,Unknown,Unknown,
9578,David,Louis-Athanase,Sainte-Marie College,Laws,Bachelor,
17028,David,Paul,University of Paris,Arts,Bachelor,1939.0
17028,David,Paul,Montreal University,Medicine,Doctorate,1944.0
17028,David,Paul,Boston University,Medicine,Post-graduate studies,
13649,Davidson,Avard Longley,Acadia University,Arts,Bachelor,
13649,Davidson,Avard Longley,Dalhousie University,Laws,Bachelor,
20062,Davidson,Scot,York University,Economics,,
17258,Davies,Don,University of Alberta,Political Science,Bachelor,1985.0
17258,Davies,Don,University College Dublin,Laws,Bachelor,1988.0
11943,Davies,Libby,High School,General,,
4889,Davies,Percy Griffith,University of Alberta,Laws,Bachelor,
4889,Davies,Percy Griffith,University of Alberta,Arts,Bachelor,
2712,Davis,Fred Langdon,University of Manitoba,Arts,Bachelor,1887.0
2712,Davis,Fred Langdon,University of Manitoba,Laws,Bachelor,1892.0
8873,Davis,John (Jack),University of British Columbia,Applied Science,Bachelor,
8873,Davis,John (Jack),University of Ottawa,Science,Doctorate,
8873,Davis,John (Jack),University of Oxford,Arts,Master,
8873,Davis,John (Jack),McGill University,Philosophy,Doctorate,
8873,Davis,John (Jack),University of Oxford,Science,Bachelor,
16659,Davis,John Caswell,McGill University,Mechanical Engineering,Bachelor,
16659,Davis,John Caswell,Laval University,Arts,Bachelor,
1176,Dawson,Dennis,University of Ottawa,Political Science,Bachelor,1984.0
1176,Dawson,Dennis,Laval University,Business Administration,Master,1987.0
1176,Dawson,Dennis,Laval University,Political Science,Bachelor,
17950,Day,Anne-Marie,Laval University,Education,Bachelor,1979.0
17950,Day,Anne-Marie,Laval University,Local and Regional Development,Master,1986.0
13345,Day,Joseph A.,Royal Military College of Canada,Electrical Engineering,Bachelor,1968.0
13345,Day,Joseph A.,Queen's University,Laws,Bachelor,1971.0
13345,Day,Joseph A.,Osgoode Hall Law School,Laws,Master,1976.0
15859,Day,Stockwell Burt,University of Victoria,Unknown,Unknown,
3094,De Bané,Pierre,Laval University,Arts,Bachelor,1960.0
3094,De Bané,Pierre,Laval University,Laws,Bachelor,1964.0
249,DeBellefeuille,Claude,University of Quebec at Montréal,Socio-cultural Animation,Certificate,1986.0
249,DeBellefeuille,Claude,University of Quebec at Montréal,Social Work,Bachelor,2003.0
18459,DeCourcey,Matt,St. Thomas University,Arts,Bachelor,2005.0
18459,DeCourcey,Matt,Mount Saint Vincent University,Public Relations,Master,2010.0
4831,DeVeber,Leverett George,King's College,Unknown,Unknown,
4831,DeVeber,Leverett George,University of Pennsylvania,Unknown,Unknown,
9570,DeVillers,Paul,University of Ottawa,Laws,Bachelor,1970.0
15350,Deachman,Grant,Bishop's University,Unknown,Unknown,
9498,Deachman,Robert John,Ontario Agricultural College,Agriculture,Bachelor,
20015,Deacon,Marty,University of Western Ontario,Education,Bachelor,
16367,Deakon,Walter Cyril,Osgoode Hall Law School,Laws,Unknown,
16367,Deakon,Walter Cyril,University of Toronto,Science,Bachelor,
18711,Dean,Tony,University of Hull,Sociology,Bachelor,
18711,Dean,Tony,McMaster University,Sociology,Master,
5705,Debien,Maud,Montreal University,Arts,Bachelor,
5705,Debien,Maud,University of Quebec at Montréal,Information,Bachelor,
7177,Deblois,Charles,Séminaire de Québec,Arts,Bachelor,
7177,Deblois,Charles,Laval University,Teaching,Master,
7177,Deblois,Charles,Laval University,Theology,Licentiate,
17283,Dechert,Bob,McMaster University,Economic Science,Bachelor,1980.0
17283,Dechert,Bob,University of Toronto,Laws,Bachelor,1983.0
8340,Decore,John,University of Alberta,Laws,Bachelor,
8340,Decore,John,University of Alberta,Arts,Bachelor,
6683,Del Mastro,Dean,University of Windsor,Commerce,Honours Bachelor,
4059,Delisle,Arthur,Laval University,Civil Law,Bachelor,
4059,Delisle,Arthur,Laval University,Laws,Master,
827,Delorme,Louis,Saint-Hyacinthe College,Laws,Unknown,
18575,Deltell,Gérard,Collegiate studies,Broadcasting,Degree,1982.0
18575,Deltell,Gérard,Collegiate studies,Social Science,Diploma,1984.0
18575,Deltell,Gérard,Technical School,Broadcasting,Unknown,1986.0
18575,Deltell,Gérard,Laval University,History,Unknown,1989.0
18575,Deltell,Gérard,Technical School,Flying,Certificate,2005.0
10115,Demers,Joseph,Sainte-Marie College,Laws,Bachelor,
10115,Demers,Joseph,Laval University,Civil Law,Bachelor,
10115,Demers,Joseph,Saint-Hyacinthe College,Science,Bachelor,
10784,Demers,Louis Philippe,Saint-Hyacinthe College,Unknown,Unknown,
10784,Demers,Louis Philippe,Laval University,Laws,Bachelor,
14149,Demers,Léopold,Montreal University,Agriculture,Bachelor,
